Name,State,Abbreviation,Location,Funding,Founded
Abubakar Tafawa Balewa University,Bauchi,ATBU,Bauchi,Federal,1980
Ahmadu Bello University,Kaduna,ABU,Zaria,Federal,1962
Alex Ekwueme Federal University Ndufu Alike Ikwo,Ebonyi,AE-FUNAI,Ikwo,Federal,2011
Bayero University,Kano,BUK,Kano,Federal,1977
"Federal University of Agriculture, Abeokuta",Ogun,FUNAAB,Abeokuta,Federal,1988
Federal University Birnin Kebbi,Kebbi,FUBK,Birnin Kebbi,Federal,2013
Federal University Dutse,Jigawa,FUD,Dutse,Federal,2011
Federal University Dutsin-Ma,Katsina,FUDM,Dutsin-Ma,Federal,2011
Federal University Gashua,Yobe,FUGASHUA,Gashua,Federal,2013
Federal University Gusau,Zamfara,FUGUS,Gusau,Federal,2013
Federal University Kashere,Gombe,FUK,Kashere,Federal,2011
Federal University Lokoja,Kogi,FUL,Lokoja,Federal,2011
Federal University of Lafia,Nasarawa,FULAFIA,Lafia,Federal,2010
Federal University of Petroleum Resources Effurun,Delta,FUPRE,Effurun,Federal,2007
Federal University of Technology Akure,Ondo,FUTA,Akure,Federal,1981
Federal University of Technology Minna,Niger,FUTMIN,Minna,Federal,1983
Federal University of Technology Owerri,Imo,FUTO,Owerri,Federal,1981
Federal University Otuoke,Bayelsa,FUO,Otuoke,Federal,2011
Federal University Oye-Ekiti,Ekiti,FUOYE,Oye-Ekiti,Federal,2011
Federal University Wukari,Taraba,FUW,Wukari,Federal,2011
"Michael Okpara University of Agriculture, Umudike",Abia,MOUAU,Umudike,Federal,1992
"Modibbo Adama University, Yola",Adamawa,MAU,Yola,Federal,-
National Open University of Nigeria,Lagos,NOUN,Victoria Island,Federal,1983
Nnamdi Azikiwe University,Anambra,UNIZIK,Awka,Federal,1992
Obafemi Awolowo University,Osun,OAU,Ile Ife,Federal,1961
University of Abuja,Federal Capital Territory,UNIABUJA,Gwagwalada,Federal,1988
"University of Agriculture, Makurdi",Benue,UAM,Makurdi,Federal,1988
University of Benin,Edo,UNIBEN,Benin City,Federal,1970
University of Calabar,Cross River,UNICAL,Calabar,Federal,1975
University of Ibadan,Oyo,UI,Ibadan,Federal,1948
University of Ilorin,Kwara,UNILORIN,Ilorin,Federal,1975
University of Jos,Plateau,UJ,Jos,Federal,1971
University of Lagos,Lagos,UNILAG,Akoka,Federal,1962
University of Maiduguri,Borno,UNIMAID,Maiduguri,Federal,1975
"University of Nigeria, Nsukka",Enugu,UNN,Nsukka,Federal,1955
University of Port Harcourt,Rivers,UNIPORT,Port Harcourt,Federal,1975
University of Uyo,Akwa Ibom,UNIUYO,Uyo,Federal,1991
Usmanu Danfodiyo University,Sokoto,UDUS,Sokoto,Federal,1975
Abia State University,Abia,ABSU,Uturu,State,1981
Adamawa State University,Adamawa,ADSU,Mubi,State,2002
Adekunle Ajasin University,Ondo,AAUA,Akungba-Akoko,State,1999
Akwa Ibom State University (formerly Akwa Ibom State University of Science and Technology),Akwa Ibom,AKSU,Uyo,State,2010
Aliko Dangote University of Science and Technology,Kano,ADUSTECH,Wudil,State,2001
Ambrose Alli University,Edo,AAU,Ekpoma,State,1981
Bauchi State University,Bauchi,BASUG,Gadau,State,2012
Bayelsa Medical University,Bayelsa,BMU,Yenagoa,State,2018
Benue State University,Benue,BSU,Makurdi,State,1992
Borno State University,Borno,BOSU,Maiduguri,State,2016
Bukar Abba Ibrahim University,Yobe,YSU,Damaturu,State,2006
Chukwuemeka Odumegwu Ojukwu University (formerly Anambra State University),Anambra,ANSU,Uli,State,2000
University of Cross River State (formerly Cross River University of Technology),Cross River,UNICROSS,"Ekpo-Abasi, Calabar",State,2002
"Delta State University, Abraka",Delta,DELSU,Abraka,State,1992
"Delta State University of Science and Technology, Ozoro",Delta,DSPZ,Ozoro,State,2021
"Dennis Osadebe University, Asaba",Delta,DOU,Asaba,State,2021
Ebonyi State University,Ebonyi,EBSU,Abakaliki,State,1996
Edo State University,Edo,EDSU,Iyamho,State,2016
Ekiti State University,Ekiti,ESUAD,Ado Ekiti,State,1981 (has used current name since 2011)
Enugu State University of Science and Technology (formerly Anambra State University of Technology),Enugu,ESUT,Enugu,State,1979
Gombe State University,Gombe,GSU,Gombe,State,2004
Gombe State University of Science and Technology,Gombe,GSUST,Kumo,State,2017
Ibrahim Badamasi Babangida University,Niger,IBBUL,Lapai,State,2005
Ignatius Ajuru University of Education,Rivers,IAUE),Port Harcourt,State,1971 (not a university until 2009)
Imo State University,Imo,IMSU,Owerri,State,1981
Kaduna State University,Kaduna,-,Kaduna,State,2004
Kebbi State University of Science and Technology,Kebbi,KSUSTA,Aliero,State,2006
Prince Abubakar Audu University,Kogi,PAAU,Anyigba,State,1999
Kwara State University,Kwara,KWASU,Malete,State,2009
Ladoke Akintola University of Technology,Oyo,LAUTECH,Ogbomoso,State,1990
Lagos State University,Lagos,LASU,Ojo,State,1983
Lagos State University of Education,Lagos,LASUED,Ijanikin,State,1958 (not a university until 2022)
Lagos State University of Science and Technology,Lagos,LASUST,Ikorodu,State,1977 (not a university until 2021)
